member_id,home_ownership
1030901,MORTGAGE
1247741,MORTGAGE
1261745,MORTGAGE
1264291,RENT
1269083,RENT
1270159,MORTGAGE
1272024,MORTGAGE
1273773,MORTGAGE
1274517,RENT
1276120,RENT
1276836,RENT
1277178,RENT
1277297,MORTGAGE
1277395,RENT
1277832,MORTGAGE
1278095,RENT
1278806,RENT
1279714,MORTGAGE
1280928,MORTGAGE
1282013,RENT
1282787,RENT
1284571,RENT
1284848,RENT
1287293,MORTGAGE
1287308,MORTGAGE
1287810,MORTGAGE
1288686,RENT
1289083,RENT
1289398,OWN
1291030,MORTGAGE
1291305,RENT
1291365,RENT
1292332,RENT
1292431,MORTGAGE
1292558,RENT
1292842,MORTGAGE
1293317,RENT
1293438,RENT
1293509,RENT
1294027,MORTGAGE
1294350,MORTGAGE
1294481,RENT
1294536,RENT
1294539,MORTGAGE
1295780,MORTGAGE
1296092,RENT
1296599,RENT
1297940,RENT
1298688,RENT
1298717,RENT
1299004,RENT
1299445,RENT
1299514,RENT
1299699,RENT
1299748,RENT
1299784,RENT
1299785,RENT
1300572,MORTGAGE
1300826,MORTGAGE
1300833,RENT
1300950,RENT
1300973,RENT
1301036,RENT
1301392,RENT
1301395,RENT
1301397,MORTGAGE
1301405,MORTGAGE
1301436,RENT
1301459,MORTGAGE
1301465,MORTGAGE
1301481,RENT
1301487,RENT
1301506,RENT
1301537,RENT
1301632,RENT
1301634,RENT
1301654,RENT
1301658,RENT
1301699,RENT
1301703,RENT
1301744,RENT
1301804,RENT
1301822,RENT
1301833,MORTGAGE
1301839,OWN
1301868,RENT
1301933,RENT
1301944,RENT
1301955,RENT
1301961,RENT
1301984,RENT
1302032,OWN
1302043,OWN
1302044,MORTGAGE
1302055,MORTGAGE
1302151,RENT
1302174,MORTGAGE
1302235,RENT
1302295,RENT
1302299,RENT
1302311,RENT
1302322,RENT
1302360,RENT
1302365,RENT
1302371,RENT
1302430,RENT
1302434,MORTGAGE
1302449,RENT
1302450,RENT
1302453,RENT
1302467,RENT
1302472,RENT
1302485,RENT
1302549,RENT
1302564,RENT
1302565,RENT
1302588,MORTGAGE
1302622,MORTGAGE
1302680,MORTGAGE
1302681,OWN
1302706,MORTGAGE
1302728,RENT
1302729,MORTGAGE
1302773,RENT
1302785,RENT
1302790,RENT
1302799,RENT
1302831,MORTGAGE
1302869,RENT
1302879,RENT
1302882,OWN
1302906,OWN
1302907,RENT
1302924,RENT
1302930,MORTGAGE
1302938,MORTGAGE
1302942,RENT
1302971,MORTGAGE
1303001,RENT
1303143,MORTGAGE
1303147,OWN
1303150,RENT
1303163,RENT
1303200,RENT
1303303,RENT
1303326,RENT
1303379,RENT
1303403,RENT
1303432,MORTGAGE
1303437,MORTGAGE
1303473,RENT
1303482,MORTGAGE
1303486,MORTGAGE
1303503,RENT
1303514,OWN
1303528,RENT
1303549,RENT
1303652,RENT
1303701,RENT
1303716,RENT
1303718,OWN
1303740,RENT
1303750,MORTGAGE
1303778,RENT
1303909,RENT
1304116,RENT
1304117,RENT
1304123,MORTGAGE
1304166,RENT
1304171,RENT
1304202,MORTGAGE
1304237,RENT
1304250,RENT
1304251,RENT
1304255,RENT
1304289,RENT
1304521,MORTGAGE
1304526,MORTGAGE
1304567,RENT
1304589,RENT
1304608,MORTGAGE
1304634,RENT
1304678,MORTGAGE
1304679,RENT
1304742,RENT
1304764,RENT
1304810,RENT
1304821,OWN
1304855,RENT
1304871,RENT
1304884,MORTGAGE
1304956,RENT
1305008,OWN
1305201,OWN
1306721,RENT
1306957,OWN
1311441,RENT
1311748,RENT
1313524,RENT
1314167,RENT
